amount,category,type,date
50000,salary,income,2025-01-01
2000,food,expense,2025-01-02
1500,transport,expense,2025-01-02
25000,rent,expense,2025-01-03
3000,shopping,expense,2025-01-04
800,coffee,expense,2025-01-04
1200,food,expense,2025-01-05
4000,freelance,income,2025-01-06
2200,food,expense,2025-01-07
1800,entertainment,expense,2025-01-08
900,transport,expense,2025-01-08
5000,shopping,expense,2025-01-09
700,coffee,expense,2025-01-10
2000,food,expense,2025-01-11
1500,transport,expense,2025-01-11
25000,rent,expense,2025-02-01
52000,salary,income,2025-02-01
2100,food,expense,2025-02-02
1800,transport,expense,2025-02-02
3000,shopping,expense,2025-02-03
900,coffee,expense,2025-02-04
1500,food,expense,2025-02-05
6000,freelance,income,2025-02-06
2000,entertainment,expense,2025-02-07
1000,transport,expense,2025-02-07
4500,shopping,expense,2025-02-08
800,coffee,expense,2025-02-09
2200,food,expense,2025-02-10
1500,transport,expense,2025-02-10
53000,salary,income,2025-03-01
25000,rent,expense,2025-03-01
2400,food,expense,2025-03-02
1700,transport,expense,2025-03-02
3500,shopping,expense,2025-03-03
1000,coffee,expense,2025-03-04
1800,food,expense,2025-03-05
7000,freelance,income,2025-03-06
2200,entertainment,expense,2025-03-07
1200,transport,expense,2025-03-07
4800,shopping,expense,2025-03-08
900,coffee,expense,2025-03-09
2600,food,expense,2025-03-10
1600,transport,expense,2025-03-10
54000,salary,income,2025-04-01
25000,rent,expense,2025-04-01
2300,food,expense,2025-04-02
1800,transport,expense,2025-04-02
3200,shopping,expense,2025-04-03
1000,coffee,expense,2025-04-04
2000,food,expense,2025-04-05
6500,freelance,income,2025-04-06
2100,entertainment,expense,2025-04-07
1100,transport,expense,2025-04-07
5000,shopping,expense,2025-04-08
800,coffee,expense,2025-04-09
2400,food,expense,2025-04-10
1500,transport,expense,2025-04-10
55000,salary,income,2025-05-01
25000,rent,expense,2025-05-01
2600,food,expense,2025-05-02
1900,transport,expense,2025-05-02
4000,shopping,expense,2025-05-03
1100,coffee,expense,2025-05-04
2200,food,expense,2025-05-05
7000,freelance,income,2025-05-06
2300,entertainment,expense,2025-05-07
1300,transport,expense,2025-05-07
5200,shopping,expense,2025-05-08
900,coffee,expense,2025-05-09
2700,food,expense,2025-05-10
1700,transport,expense,2025-05-10
56000,salary,income,2025-06-01
25000,rent,expense,2025-06-01
2800,food,expense,2025-06-02
2000,transport,expense,2025-06-02
4500,shopping,expense,2025-06-03
1200,coffee,expense,2025-06-04
2400,food,expense,2025-06-05
7500,freelance,income,2025-06-06
2500,entertainment,expense,2025-06-07
1400,transport,expense,2025-06-07
5500,shopping,expense,2025-06-08
1000,coffee,expense,2025-06-09
3000,food,expense,2025-06-10
1800,transport,expense,2025-06-10
5000,rent,expense,2026-23-28
